model,attribution_method,prompt_id,token_count,output_token_count,attribution_time,tokens_per_second,prompt_text,success,device,gpu_info
BART,input_x_gradient,prompt_1,20,0,1.983612060546875,10.082616655640855,Answer this yes/no question: do iran and afghanistan speak the same language,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_2,22,0,1.4262137413024902,15.425457883969406,Answer this yes/no question: do good samaritan laws protect those who help at an accident,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_3,17,0,1.168161153793335,14.552786612357727,Answer this yes/no question: is windows movie maker part of windows essentials,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_4,19,0,1.1983704566955566,15.854863488867624,Answer this yes/no question: is confectionary sugar the same as powdered sugar,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_5,18,0,1.1150915622711182,16.142172184801776,Answer this yes/no question: is elder scrolls online the same as skyrim,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_6,20,0,1.063279151916504,18.809735866588813,Answer this yes/no question: can you use oyster card at epsom station,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_7,22,0,1.3683581352233887,16.07766229738418,Answer this yes/no question: will there be a season 4 of da vinci's demons,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_8,19,0,1.2675902843475342,14.989070391762947,Answer this yes/no question: is the federal court the same as the supreme court,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_9,22,0,1.4276444911956787,15.409998872740784,Answer this yes/no question: did abraham lincoln write the letter in saving private ryan,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_10,21,0,1.2597057819366455,16.67055934895769,Answer this yes/no question: is batman and robin a sequel to batman forever,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_11,20,0,1.15028977394104,17.386923237157397,Answer this yes/no question: is a wolverine the same as a badger,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_12,17,0,1.1834945678710938,14.364239990201325,Answer this yes/no question: will there be a green lantern 2 movie,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_13,19,0,1.1669566631317139,16.281667177777173,Answer this yes/no question: does the icc has jurisdiction in the united states,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_14,24,0,1.400780200958252,17.133308982795427,Answer this yes/no question: calcium carbide cac2 is the raw material for the production of acetylene,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_15,19,0,1.2415578365325928,15.303354737837234,Answer this yes/no question: is there a now you see me 3 coming out,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_16,20,0,1.2176549434661865,16.42501441588028,Answer this yes/no question: does a penalty shoot out goal count towards the golden boot,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_17,20,0,1.2458903789520264,16.05277666308242,Answer this yes/no question: will there be a new season of cutthroat kitchen,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_18,19,0,1.230982780456543,15.43482191761719,Answer this yes/no question: is jack sikma in the hall of fame,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_19,18,0,1.0444719791412354,17.233588223974756,Answer this yes/no question: can elves and humans mate lord of the rings,True,CUDA,Tesla T4
BART,input_x_gradient,prompt_20,19,0,1.2174592018127441,15.606272449795297,Answer this yes/no question: the boy in the plastic bubble based on true story,True,CUDA,Tesla T4
BART,saliency,prompt_1,20,0,0.8605189323425293,23.24178963216466,Answer this yes/no question: do iran and afghanistan speak the same language,True,CUDA,Tesla T4
BART,saliency,prompt_2,22,0,1.2616353034973145,17.43768578686323,Answer this yes/no question: do good samaritan laws protect those who help at an accident,True,CUDA,Tesla T4
BART,saliency,prompt_3,17,0,1.0880656242370605,15.624057613179545,Answer this yes/no question: is windows movie maker part of windows essentials,True,CUDA,Tesla T4
BART,saliency,prompt_4,19,0,1.0427448749542236,18.22113966355778,Answer this yes/no question: is confectionary sugar the same as powdered sugar,True,CUDA,Tesla T4
